response,ground_truth
No,Yes
No,Yes
No,Yes
B,C.
B,C.
A,B.
A,B.
A,B.
A,A.
Galveston to Freeport,"Port Aransas, TX to San Luis Pass, TX"
22.5N to 25N,"Hurricane Watch from Port Aransas to Freeport, TX"
Galveston to Freeport,"North of Port Aransas to High Island, Texas"
Galveston to Freeport,"Mouth of the Rio Grande, TX to Sabine Pass, TX (TS); Port Aransas, TX to Sabine Pass, TX including Matagorda & Galveston Bays (Storm Surge)"
Galveston to Freeport,"Tropical Storm Warning from the Mouth of the Rio Grande to High Island, TX"
Galveston to Freeport,"Mouth of the Rio Grande to Port Aransas, Texas (tropical-storm warning) ; Mouth of the Rio Grande to High Island (storm-surge watch)"
"25.4N, 96.9W","26.9N, 96.5W"
"22.5N, 95.5W","25.1N, 96.5W"
"20.5N, 94.8W","21.7N, 95.5W"
NNW,N
S,NNW
NNW,NNW
5,12 mph
2,15 mph
13,15 mph
Louisiana,"Middle and upper Texas coast including Matagorda Peninsula, Freeport/Lake Jackson area, Galveston Bay, and adjacent bays"
Louisiana,Entire Texas coastline from the Rio Grande through the upper Texas coast and into southwest Louisiana
Texas,"Entire Texas coastline from the mouth of the Rio Grande through the upper Texas coast, including Freeport, Galveston and into southwest Louisiana"
FREEPORT TX,FREEPORT TX
GFMX 280N 950W,FREEPORT TX
FREEPORT TX,FREEPORT TX
67,69%
59,59%
38,39%
8,8%
14,14%
8,9%
69,12
46,30
36,36
8,12
14,36
24,45
67,54%
41,37%
38,21%
A,A.
D,A.
B,B.
Port Aransas to San Luis Pass TX,"Middle and upper Texas coast including Matagorda Peninsula, Freeport/Lake Jackson area, Galveston Bay, and adjacent bays"
Port Aransas to Freeport Texas,Entire Texas coastline from the Rio Grande through the upper Texas coast and into southwest Louisiana
South Texas Coast,"Entire Texas coastline from the mouth of the Rio Grande through the upper Texas coast, including Freeport, Galveston and into southwest Louisiana"
B,B.
B,B.
B,B.
C,C.
B,D.
A,A.
Louisiana,"Middle and upper Texas coast including Matagorda Peninsula, Freeport/Lake Jackson area, Galveston Bay, and adjacent bays"
Louisiana,Entire Texas coastline from the Rio Grande through the upper Texas coast and into southwest Louisiana
Galveston,"Entire Texas coastline from the mouth of the Rio Grande through the upper Texas coast, including Freeport, Galveston and into southwest Louisiana"
120,8
120,15
120,36
12,N/A (storm remains inland after landfall)
12,36
None,24
C,D.
C,D.
D,D.
D,B.
D,B.
D,B.
D,B.
D,C.
C,C.
Yes,Yes
No,Yes
Yes,Yes
C,A.
C,B.
C,B.
400,8
40,15
40,36
B,A.
A,A.
B,B.
B,C.
B,C.
B,C.
C,C.
B,C.
B,C.
Tornadoes are possible across the middle and upper Texas coast.,"Flash flooding, dangerous surf/rip currents, isolated tornadoes embedded in outer rainbands."
Tornadoes are possible across the middle and lower Texas coast.,"Isolated tornadoes, dangerous surf and rip currents, and short-fused river/stream rises that could disrupt port operations."
"Flash, urban, and isolated river flooding may occur.","Dangerous surf and rip currents, minor coastal flooding at high tide, isolated tornadoes in outer rainbands"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Medium"",
    ""48_hours"": ""High"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '13%', 'in 24h': '54%', 'in 48h': '2%', 'in 72h': '<1%', 'in 96h': '<1%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '9%', 'in 48h': '58%', 'in 72h': '59%', 'in 96h': '59%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Medium"",
    ""48_hours"": ""High"",
    ""72_hours"": ""Medium"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '24%', 'in 72h': '37%', 'in 96h': '38%'}"
14-09-2021,9/13/2021
13-09-2021,9/13/2021
13-09-2021,9/13/2021
15-09-2021,9/14/2021
13-09-2021,9/14/2021
14-09-2021,9/14/2021
05-10-2021,9/13/2021
02-10-2021,9/13/2021
25-09-2021,9/13/2021
3,2
3,2
3,2
3,1.0
3,1.0
3,1.0
14,0.698868889
3-5,0.698868889
3,0.698868889
D,B.
D,B.
D,B.
