response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
A,A.
A,B.
A,B.
A,B.
A,B.
A,A.
A,A.
Cuba to Florida,None
Florida to Cuba,Cuban provinces of Matanzas and Isle of Youth (no U.S. east-coast watch in effect)
Cuba to Florida,"East coast of Florida south of the Volusia/Brevard County Line (includes Port of Palm Beach), Lake Okeechobee, Florida Keys, and west coast south of Longboat Key"
Cuba to Florida,"East coast of Florida south of the Volusia/Brevard County line (including Lake Okeechobee) and west coast south of Longboat Key, plus Florida Keys"
Cuba,"East coast of Florida south of the Volusia/Brevard County Line to Card Sound Bridge, including Lake Okeechobee"
Cuba to Florida,"Florida east coast south of the Volusia/Brevard County Line to Card Sound Bridge (includes Palm Beach County), Florida Keys including the Dry Tortugas, Florida Bay, west coast of Florida south of Middle of Longboat Key to Card Sound Bridge, Lake Okeechobee, Cuban provinces of Pinar del Rio/Artemisa/La Habana/Mayabeque, north-western Bahamas"
Cuba to Florida,None at this time
Cuba to Florida,None
"23.3N, 85.0W","23.3N, 85.0W"
"22.4N, 86.8W","22.4N, 86.8W"
"21.5N, 87.5W","21.5N, 87.5W"
"21.4N, 87.5W","21.4N, 87.5W"
NE,NE
NE,NE
N,N
N,N
7,7 mph
6,6 mph
5,5 mph
5,5 mph
Florida,"South and central Florida Peninsula, Florida Keys, and northwestern Bahamas"
Florida,"Entire south and central Florida Peninsula including both Gulf and Atlantic coasts, Keys, and north-western Bahamas"
Florida,"South Florida peninsula, Florida Keys, and east-coast counties up to Volusia/Brevard line"
Florida,"Southern and central Florida Peninsula, including Palm Beach County and the Florida Keys"
W PALM BEACH,W PALM BEACH
W PALM BEACH,W PALM BEACH
W PALM BEACH,W PALM BEACH
W PALM BEACH,W PALM BEACH
50,60%
35,39%
14,14%
14,14%
6,7%
6,4%
3,<3%
3,0%
35,36
28,48
18,72
18,45
48,36
64,36
18,N/A
18,N/A
50,60%
35,39%
18,14%
18,10%
A,A.
D,D.
B,B.
B,C.
Florida Peninsula,"South and central Florida Peninsula, Florida Keys, and northwestern Bahamas"
Florida Peninsula,"Entire south and central Florida Peninsula including both Gulf and Atlantic coasts, Keys, and north-western Bahamas"
Florida Peninsula,"South Florida peninsula, Florida Keys, and east-coast counties up to Volusia/Brevard line"
Florida Peninsula,"Southern and central Florida Peninsula, including Palm Beach County and the Florida Keys"
B,B.
B,B.
A,B.
A,A.
A,A.
B,D.
C,C.
C,C.
Florida,"South and central Florida Peninsula, Florida Keys, and northwestern Bahamas"
Florida,"Entire south and central Florida Peninsula including both Gulf and Atlantic coasts, Keys, and north-western Bahamas"
Florida,"South Florida peninsula, Florida Keys, and east-coast counties up to Volusia/Brevard line"
Florida,"Southern and central Florida Peninsula, including Palm Beach County and the Florida Keys"
None,18
120,30
120,36
120,42
None,36
None,40
None,54
None,60
D,D.
D,D.
D,D.
D,D.
D,B.
D,B.
D,B.
D,B.
C,C.
C,C.
D,D.
D,C.
No,Yes
Yes,Yes
No,No
No,No
B,A.
C,B.
B,C.
B,C.
36,18
48,30
48,36
48,42
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
C,C.
C,C.
B,C.
B,C.
Tornadoes are possible over the southern Florida Peninsula and the Florida Keys tonight and Saturday.,A few tornadoes possible across southern Florida peninsula; brief waterspouts could disrupt marine operations.
Isolated tornadoes are possible over South Florida beginning this evening and continuing through Saturday.,Isolated tornadoes possible Friday night through Saturday across South Florida including Palm Beach County.
Flooding may occur in urban corridors due to heavy rainfall.,Isolated tornadoes or waterspouts in outer rainbands; reduced visibility and harbor operations disruptions due to squalls
Flooding and urban flooding may occur across the urban corridors in South Florida.,Isolated tornadoes and hazardous marine/boating conditions in the Lake Worth Inlet and adjacent coastal waters
"{
  ""gale_probability"": {
    ""in 12h"": ""2"",
    ""in 24h"": ""7"",
    ""in 48h"": ""14"",
    ""in 72h"": ""24"",
    ""in 96h"": ""45""
  }
}","{'in 12h': '1%', 'in 24h': '49%', 'in 48h': '10%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""2"",
    ""in 24h"": ""6"",
    ""in 48h"": ""12"",
    ""in 72h"": ""18"",
    ""in 96h"": ""24""
  }
}","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '4%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '4%', 'in 72h': '14%', 'in 96h': '14%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '4%', 'in 72h': '10%', 'in 96h': '0%'}"
04-06-2022,None
03-06-2022,None
03-06-2022,None
03-06-2022,None
04-06-2022,None
03-06-2022,None
03-06-2022,None
03-06-2022,None
03-06-2022,None
03-06-2022,None
03-06-2022,None
02-06-2022,None
5,0
5,0
2,0
2,0
5,None
5,None
5,None
5,None
50,None
34,None
18,None
18,None
B,A.
B,A.
B,A.
A. None,A.
